"Drive Speed, n",Unit,Leakage Filter Clog,"Leakage Flow, QL",Unit,Main Flow Filter Clog,"Main Flow, Q ",Unit,Pilot_X1,Unit,Pilot_X2,Unit,"Pressure Remote, G",Unit,Pressure_A,Unit,Pressure _B,Unit,Recirculation Filter Clog
1591.649558,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1557.202408,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1641.471425,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1540.465375,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1647.407233,rpm,FALSE,0.0125,l/min,FALSE,1.525,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1555.158933,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1715.231142,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1531.902242,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1625.610167,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1571.895967,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1632.519058,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1494.63315,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1639.136025,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1590.579167,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1634.270608,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1601.185775,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1658.11115,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1561.678592,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1577.53985,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1568.19825,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1583.281042,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.19,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1639.525258,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.17,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1530.929158,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.17,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1653.44035,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.17,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1549.612358,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.17,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1644.001442,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.17,bar,0.025,bar,-0.033333333,bar,8.133333333,bar,167,bar,FALSE
1543.190008,rpm,FALSE,0.0125,l/min,FALSE,1.3,l/min,0.17,bar,0.025,bar,-0.033333333,bar,30.46666667,bar,162.15,bar,FALSE
1689.541742,rpm,FALSE,0.0125,l/min,FALSE,31.55,l/min,0.17,bar,0.025,bar,-0.033333333,bar,19.86666667,bar,156.1,bar,FALSE
1535.210725,rpm,FALSE,0.0125,l/min,FALSE,56.425,l/min,0.17,bar,0.025,bar,-0.033333333,bar,19.86666667,bar,156.25,bar,FALSE
1637.189858,rpm,FALSE,0.0125,l/min,FALSE,92.9,l/min,0.17,bar,0.025,bar,-0.033333333,bar,19.86666667,bar,156.25,bar,FALSE
1547.276958,rpm,FALSE,0.0125,l/min,FALSE,93.25,l/min,0.17,bar,0.025,bar,-0.033333333,bar,19.86666667,bar,146.45,bar,FALSE
1640.498342,rpm,FALSE,0.0125,l/min,FALSE,93.475,l/min,0.17,bar,0.025,bar,-0.033333333,bar,19.86666667,bar,142.2666667,bar,FALSE
1561.094742,rpm,FALSE,0.0125,l/min,FALSE,93.475,l/min,0.17,bar,0.025,bar,-0.033333333,bar,19.71666667,bar,132.9666667,bar,FALSE
